DDT Code,DDT Name,IW Code,LOC Code,IW Category,COOLANT,Value,OIL FILTER,AIR FILTER - INLET,Till Date,Variance,BELT - BELT WATER PUMP,Till Date,Variance,BRAKE FLUID,Till Date,Variance,FUEL FILTER,Till Date,Variance,SERVICE KIT,Till Date,Variance,SPARK PLUG,Till Date,Variance,SPARK PLUG-Heater,Till Date,Variance,Value,CLUTCH - BEARING,Value,CLUTCH - COVER ASSY,Value,CLUTCH - CYLINDER ASSY,Value,CLUTCH - DISC,Value,CLUTCH - SET,Value,CLUTCH KIT,Value,BRAKE PAD,Value,BRAKE SHOE,Value,ARM ASSY - FRONT,Value,ARM ASSY - REAR,Value,SHOCK ABSORBER,Value,STRUTS - STRUT ASSY,Value,STRUTS - STRUT SET,STEERING - CASE SET,Till Date,Variance,STEERING - GEAR BOX ASSY,Till Date,Variance,STEERING - SHAFT ASSY,Till Date,Variance,STEERING - TIE ROD END,Till Date,Variance,BEARING -Wheel,Till Date,Variance,BELT - TIMING,Till Date,Variance,BULBS,Till Date,Variance, FRONT,Till Date,Variance,INTERMEDIATE,Till Date,Variance,HORN ASSY,Till Date,Variance,FUEL PUMP,Till Date,Variance,WEATHERSTRIP,Till Date,Variance,WINDSHIELD,Till Date,Variance,HEADLAMP,Till Date,Variance,TAIL LIGHT,Till Date,Variance,RADIATOR,Till Date,Variance, AIR DRYING SEALER,Till Date,Variance,MASKING TAPE,Till Date,Variance, SEALENT,Till Date,Variance,RUST SMASH,Till Date,Variance,Value,WIPER - BLADE,Value,WIPER KIT,Value
KA01,Nema Auto Spares,WKA0114959,RAJ,(>3L),95,21173.6,0,0,,,0,,,38,,,0,,,0,,,0,,,0,,,0,8,3242.13,0,0,0,0,0,0,0,0,0,0,0,0,5,5943.34,19,20835.89,0,0,9,12103.1,0,0,8,2,,,0,,,0,,,13,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,1,,,22368.72,0,0,0,0
KA01,Nema Auto Spares,WKA0114957,RAJ,1L-3L,0,0,0,21,,,4,,,10,,,10,,,0,,,19,,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9057.7,1,1158.2,2,1431.24,0,0,0,0,0,0,2,3,,,0,,,1,,,15,,,19,,,4,,,4,,,3,,,1,,,4,,,2,,,13,,,3,,,5,,,7,,,0,,,1,,,1,,,2,,,1,,,5070.3,0,0,0,0
KA01,Nema Auto Spares,WKA0114953,RAJ,1L-3L,0,0,62,21,,,4,,,10,,,0,,,3,,,0,,,3,,,8431.2,5,1001.79,0,0,0,0,0,0,1,1557.03,0,0,14,16010.05,2,2181.63,4,1984.36,0,0,4,5731.24,0,0,4,3,,,0,,,0,,,15,,,19,,,4,,,4,,,3,,,1,,,0,,,2,,,13,,,0,,,5,,,7,,,2,,,1,,,1,,,2,,,1,,,8929.68,3,438.12,0,0
KA01,Nema Auto Spares,WKA0115000,RAJ,1L-3L,0,0,53,21,,,4,,,10,,,10,,,3,,,19,,,3,,,4746.46,0,0,0,0,0,0,0,0,0,0,0,0,18,5231.14,11,6296.04,20,10587.42,0,0,4,4459.36,0,0,0,3,,,1,,,1,,,15,,,19,,,4,,,4,,,3,,,1,,,4,,,2,,,13,,,3,,,5,,,7,,,0,,,1,,,1,,,2,,,1,,,0,30,3627,0,0
KA01,Nema Auto Spares,WKA0120540,OMR,1L-3L,16,3566.08,31,0,,,4,,,10,,,0,,,3,,,19,,,3,,,5132.96,2,906.24,0,0,0,0,0,0,0,0,0,0,8,8139,4,3275.37,8,4685.9,0,0,2,1609.36,2,2756.24,6,3,,,0,,,0,,,15,,,19,,,0,,,0,,,3,,,1,,,4,,,0,,,13,,,3,,,5,,,7,,,2,,,1,,,1,,,2,,,1,,,12367.18,2,171.18,0,0
KA01,Nema Auto Spares,WKA0114986,RAJ,1L-3L,0,0,60,21,,,4,,,10,,,10,,,3,,,19,,,0,,,7643.95,1,453.12,2,1613.28,0,0,2,2002.34,0,0,0,0,20,21663.91,7,6138.64,0,0,0,0,2,2865.62,0,0,0,3,,,0,,,1,,,15,,,19,,,4,,,4,,,3,,,1,,,4,,,2,,,13,,,3,,,5,,,7,,,2,,,1,,,1,,,2,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0111744,RAJ,1L-3L,0,0,22,21,,,4,,,10,,,10,,,3,,,19,,,3,,,5469.43,0,0,6,5488.28,2,3282.03,5,6564.84,1,1406.25,1,1480.46,0,0,0,0,10,11404.66,0,0,2,2329.68,0,0,2,3,,,0,,,0,,,15,,,19,,,4,,,4,,,3,,,1,,,4,,,2,,,13,,,3,,,5,,,7,,,2,,,1,,,1,,,2,,,1,,,5492.18,2,558.47,0,0
KA01,Nema Auto Spares,WKA0157602,RAJ,75k-1L,0,0,4,9,,,2,,,3,,,3,,,2,,,8,,,2,,,1210.16,1,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,664.06,0,0,0,0,0,0,0,1,,,0,,,1,,,12,,,12,,,3,,,1,,,2,,,1,,,1,,,0,,,0,,,2,,,0,,,3,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0114955,RAJ,75k-1L,0,0,15,9,,,2,,,3,,,3,,,2,,,0,,,2,,,1004.19,0,0,0,0,0,0,0,0,1,1557.03,1,2027.34,0,0,0,0,3,3298.43,0,0,2,2865.62,0,0,2,1,,,0,,,1,,,12,,,12,,,3,,,1,,,2,,,1,,,1,,,0,,,7,,,2,,,0,,,3,,,0,,,1,,,1,,,1,,,1,,,5312.5,0,0,0,0
KA01,Nema Auto Spares,WKA0118126,BNG,50k-75k,0,0,10,0,,,2,,,2,,,4,,,1,,,9,,,0,,,673.7,0,0,0,0,0,0,0,0,0,0,0,0,3,3293.73,0,0,0,0,0,0,2,2329.68,2,2812.5,0,0,,,0,,,1,,,9,,,11,,,2,,,1,,,0,,,1,,,0,,,0,,,7,,,2,,,2,,,0,,,0,,,1,,,1,,,0,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0115710,JHL,50k-75k,0,0,0,0,,,2,,,0,,,0,,,0,,,0,,,1,,,0,0,0,2,1962.5,0,0,2,2862.5,0,0,0,0,0,0,1,1158.2,2,2340.62,0,0,2,2354.68,0,0,2,0,,,1,,,1,,,9,,,11,,,0,,,1,,,0,,,1,,,1,,,0,,,7,,,2,,,2,,,3,,,0,,,1,,,1,,,1,,,1,,,5362.5,0,0,0,0
KA01,Nema Auto Spares,WKA0118811,HLY,50k-75k,7,1560.16,0,10,,,2,,,2,,,4,,,1,,,9,,,1,,,0,0,0,1,625,0,0,1,378.9,1,1557.03,0,0,0,0,0,0,5,3514.82,0,0,0,0,0,0,4,0,,,0,,,1,,,9,,,0,,,2,,,1,,,0,,,1,,,1,,,0,,,7,,,2,,,2,,,3,,,0,,,1,,,1,,,1,,,1,,,12760.15,0,0,0,0
KA01,Nema Auto Spares,WKA0120110,KOL,50k-75k,2,445.76,21,10,,,2,,,2,,,4,,,0,,,9,,,0,,,1416.89,1,453.12,3,2445.31,0,0,5,3115.62,0,0,0,0,5,1796.85,0,0,3,1174.2,0,0,2,1593.74,0,0,0,1,,,1,,,1,,,9,,,11,,,2,,,1,,,1,,,1,,,0,,,0,,,7,,,2,,,2,,,3,,,1,,,1,,,1,,,1,,,0,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0119941,BNG,50k-75k,0,0,21,10,,,0,,,2,,,4,,,0,,,9,,,1,,,1671.14,2,906.24,2,1509.37,0,0,2,1748.43,0,0,0,0,0,0,1,546.87,4,1774.98,0,0,0,0,0,0,1,0,,,0,,,1,,,9,,,11,,,0,,,1,,,0,,,1,,,0,,,1,,,7,,,0,,,0,,,3,,,0,,,0,,,1,,,0,,,1,,,1484.37,0,0,0,0
KA01,Nema Auto Spares,WKA0114965,RAJ,50k-75k,0,0,0,10,,,2,,,0,,,4,,,0,,,9,,,1,,,0,0,0,0,0,0,0,0,0,1,1557.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,1,,,9,,,11,,,2,,,1,,,1,,,1,,,1,,,0,,,7,,,2,,,2,,,3,,,0,,,1,,,1,,,1,,,1,,,0,2,203.38,0,0
KA01,Nema Auto Spares,WKA0110022,RAJ,50k-75k,0,0,0,0,,,2,,,0,,,4,,,0,,,9,,,1,,,0,0,0,2,1962.5,0,0,3,3241.4,1,1113.28,0,0,0,0,0,0,2,2234.37,0,0,0,0,0,0,2,0,,,0,,,0,,,9,,,11,,,0,,,1,,,0,,,1,,,0,,,1,,,7,,,2,,,2,,,3,,,0,,,1,,,1,,,1,,,1,,,4496.86,0,0,0,0
KA01,Nema Auto Spares,WKA0114961,RAJ,50k-75k,0,0,0,10,,,2,,,2,,,4,,,1,,,9,,,0,,,0,0,0,0,0,0,0,0,0,1,1557.03,0,0,2,718.74,1,1158.2,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,9,,,11,,,2,,,1,,,0,,,1,,,1,,,1,,,7,,,2,,,0,,,3,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
