DDT Code,DDT Name,IW Code
KA01,Nema Auto Spares,WKA0114959
KA01,Nema Auto Spares,WKA0114957
KA01,Nema Auto Spares,WKA0114953
KA01,Nema Auto Spares,WKA0115000
KA01,Nema Auto Spares,WKA0120540
KA01,Nema Auto Spares,WKA0114986
KA01,Nema Auto Spares,WKA0111744
KA01,Nema Auto Spares,WKA0157602
KA01,Nema Auto Spares,WKA0114955
KA01,Nema Auto Spares,WKA0115710
KA01,Nema Auto Spares,WKA0118811
KA01,Nema Auto Spares,WKA0120110
KA01,Nema Auto Spares,WKA0114965
KA01,Nema Auto Spares,WKA0110022
KA01,Nema Auto Spares,WKA0114961
KA01,Nema Auto Spares,WKA0120862
KA01,Nema Auto Spares,WKA0114976
KA01,Nema Auto Spares,WKA0160281
KA01,Nema Auto Spares,WKA0115714
KA01,Nema Auto Spares,WKA0157713
KA01,Nema Auto Spares,WKA0125849
KA01,Nema Auto Spares,WKA0128628
KA01,Nema Auto Spares,WKA0114942
KA01,Nema Auto Spares,WKA0154474
KA01,Nema Auto Spares,WKA0132833
KA01,Nema Auto Spares,WKA0131628
KA01,Nema Auto Spares,WKA0156384
KA01,Nema Auto Spares,WKA0114980
KA01,Nema Auto Spares,WKA0154539
KA01,Nema Auto Spares,WKA0153094
KA01,Nema Auto Spares,WKA0120157
KA01,Nema Auto Spares,WKA0128632
KA01,Nema Auto Spares,WKA0141111
KA01,Nema Auto Spares,WKA0163153
KA01,Nema Auto Spares,WKA0122329
KA01,Nema Auto Spares,WKA0115004
KA01,Nema Auto Spares,WKA0128633
KA01,Nema Auto Spares,WKA0125217
KA01,Nema Auto Spares,WKA0120582
KA01,Nema Auto Spares,WKA0120056
KA01,Nema Auto Spares,WKA0124874
KA01,Nema Auto Spares,WKA0114979
KA01,Nema Auto Spares,WKA0128638
KA01,Nema Auto Spares,WKA0120092
KA01,Nema Auto Spares,WKA0100526
KA01,Nema Auto Spares,WKA0119058
KA01,Nema Auto Spares,WKA0122294
KA01,Nema Auto Spares,WKA0165256
KA01,Nema Auto Spares,WKA0120644
KA01,Nema Auto Spares,WKA0111641
KA01,Nema Auto Spares,WKA0112804
KA01,Nema Auto Spares,WKA0123987
KA01,Nema Auto Spares,WKA010143230
KA01,Nema Auto Spares,WKA0114992
KA01,Nema Auto Spares,WKA0152755
KA01,Nema Auto Spares,WKA0115002
KA01,Nema Auto Spares,WKA010124883
KA01,Nema Auto Spares,WKA010143004
KA01,Nema Auto Spares,WKA0122315
KA01,Nema Auto Spares,WKA0119121
KA01,Nema Auto Spares,WKA0134426
KA01,Nema Auto Spares,WKA0149552
KA01,Nema Auto Spares,WKA0159151
KA01,Nema Auto Spares,WKA0105886
KA01,Nema Auto Spares,WKA0114950
KA01,Nema Auto Spares,WKA0130333
KA01,Nema Auto Spares,WKA0125366
KA01,Nema Auto Spares,WKA0102566
KA01,Nema Auto Spares,WKA0114973
KA01,Nema Auto Spares,WKA0160279
KA01,Nema Auto Spares,WKA0106826
KA01,Nema Auto Spares,WKA0120134
KA01,Nema Auto Spares,WKA0114985
KA01,Nema Auto Spares,WKA0114971
KA01,Nema Auto Spares,WKA0152990
KA01,Nema Auto Spares,WKA0148934
KA01,Nema Auto Spares,WKA0127192
KA01,Nema Auto Spares,WKA0110018
KA01,Nema Auto Spares,WKA0115720
KA01,Nema Auto Spares,WKA0156596
KA01,Nema Auto Spares,WKA010144563
KA01,Nema Auto Spares,WKA0148971
KA01,Nema Auto Spares,WKA0107932
KA01,Nema Auto Spares,WKA010125622
KA01,Nema Auto Spares,WKA0114969
KA01,Nema Auto Spares,WKA0115008
KA01,Nema Auto Spares,WKA0130071
KA01,Nema Auto Spares,WKA0110078
KA01,Nema Auto Spares,WKA0100497
KA01,Nema Auto Spares,WKA010126302
KA01,Nema Auto Spares,WKA0102306
KA01,Nema Auto Spares,WKA0152850
KA01,Nema Auto Spares,WKA0158760
KA01,Nema Auto Spares,WKA0101127
KA01,Nema Auto Spares,WKA0156466
KA01,Nema Auto Spares,WKA0119075
KA01,Nema Auto Spares,WKA0107414
KA01,Nema Auto Spares,WKA0155904
KA01,Nema Auto Spares,WKA0114977
KA01,Nema Auto Spares,WKA0114954
KA01,Nema Auto Spares,WKA0122311
KA01,Nema Auto Spares,WKA0114998
KA01,Nema Auto Spares,WKA0162734
KA01,Nema Auto Spares,WKA0146731
KA01,Nema Auto Spares,WKA0117342
KA01,Nema Auto Spares,WKA0121471
KA01,Nema Auto Spares,WKA0100185
KA01,Nema Auto Spares,WKA010143404
KA01,Nema Auto Spares,WKA0118852
KA01,Nema Auto Spares,WKA0128050
KA01,Nema Auto Spares,WKA0133899
KA01,Nema Auto Spares,WKA0182323
KA01,Nema Auto Spares,WKA010144521
KA01,Nema Auto Spares,WKA010142847
KA01,Nema Auto Spares,WKA0162790
KA01,Nema Auto Spares,WKA0122060
KA01,Nema Auto Spares,WKA0137574
KA01,Nema Auto Spares,WKA0152854
KA01,Nema Auto Spares,WKA0114988
KA01,Nema Auto Spares,WKA0139525
KA01,Nema Auto Spares,WKA0182446
KA01,Nema Auto Spares,WKA0121065
KA01,Nema Auto Spares,WKA0114963
KA01,Nema Auto Spares,WKA0162135
KA01,Nema Auto Spares,WKA0160554
KA01,Nema Auto Spares,WKA0114987
KA01,Nema Auto Spares,WKA0156461
KA01,Nema Auto Spares,WKA0111679
KA01,Nema Auto Spares,WKA0187364
KA01,Nema Auto Spares,WKA0132173
KA01,Nema Auto Spares,WKA0132617
KA01,Nema Auto Spares,WKA0117754
KA01,Nema Auto Spares,WKA0178544
KA01,Nema Auto Spares,WKA0118506
KA01,Nema Auto Spares,WKA0160932
KA01,Nema Auto Spares,WKA0103803
KA01,Nema Auto Spares,WKA0122273
KA01,Nema Auto Spares,WKA0126306
KA01,Nema Auto Spares,WKA0120338
KA01,Nema Auto Spares,WKA0120409
KA01,Nema Auto Spares,WKA0175384
KA01,Nema Auto Spares,WKA0135750
KA01,Nema Auto Spares,WKA0156115
KA01,Nema Auto Spares,WKA0155985
KA01,Nema Auto Spares,WKA0177083
KA01,Nema Auto Spares,WKA010146329
KA01,Nema Auto Spares,WKA010154324
KA01,Nema Auto Spares,WKA0112710
KA01,Nema Auto Spares,WKA0156760
KA01,Nema Auto Spares,WKA0130074
KA01,Nema Auto Spares,WKA0111074
KA01,Nema Auto Spares,WKA0155671
KA01,Nema Auto Spares,WKA0132399
KA01,Nema Auto Spares,WKA0171158
KA01,Nema Auto Spares,WKA0112551
KA01,Nema Auto Spares,WKA0114995
KA01,Nema Auto Spares,WKA0138077
KA01,Nema Auto Spares,WKA0130390
KA01,Nema Auto Spares,WKA0136733
KA01,Nema Auto Spares,WKA0155996
KA01,Nema Auto Spares,WKA0168802
KA01,Nema Auto Spares,WKA0121003
KA01,Nema Auto Spares,WKA0156000
KA01,Nema Auto Spares,WKA0152911
KA01,Nema Auto Spares,WKA0152750
KA01,Nema Auto Spares,WKA0114981
KA01,Nema Auto Spares,WKA0160331
KA01,Nema Auto Spares,WKA0157711
