DDT Code,DDT Name,IW Code,LOC Code,IW Code printed on Ticket,Coolant,,Oil Filter,,Air Filter,,Brake Fluid,,Spark Plug,,CLUTCH - BEARING,,CLUTCH - COVER ASSY,,CLUTCH - CYLINDER ASSY,,CLUTCH - DISC,,CLUTCH - SET,,Clutch Kit,,Brake Pad,,Brake Shoe,,BEARING -Wheel,,HEADLAMP,,TAIL LIGHT,, AIR DRYING SEALER,,MASKING TAPE,,SEALENT,,RUST SMASH,,Total Tickets
KA01,Nema Auto Spares,WKA0114957,RAJ,RAJ-WKA0114957,24,0114957CO-11182-24,0,-,0,-,9,0114957BF-11181-9,41,0114957SP-11182-41,0,-,0,-,0,-,0,-,5,0114957CS-11182-5,3,0114957CK-11181-3,12,0114957BP-11181-12,8,0114957BS-11182-8,19,0114957WB-11181-19,5,0114957HL-11181-5,7,0114957TL-11181-7,1,0114957ADS-11181-1,1,0114957MT-11182-1,2,0114957SEA-11181-2,1,0114957RS-11182-1,14
KA01,Nema Auto Spares,WKA0114953,RAJ,RAJ-WKA0114953,24,0114953CO-11183-24,38,0114953OF-11181-38,20,0114953AF-11182-20,9,0114953BF-11182-9,41,0114953SP-11183-41,6,0114953CB-11182-6,0,-,0,-,0,-,5,0114953CS-11183-5,3,0114953CK-11182-3,12,0114953BP-11182-12,8,0114953BS-11183-8,19,0114953WB-11182-19,5,0114953HL-11182-5,7,0114953TL-11182-7,1,0114953ADS-11182-1,1,0114953MT-11183-1,2,0114953SEA-11182-2,1,0114953RS-11183-1,17
KA01,Nema Auto Spares,WKA0115000,RAJ,RAJ-WKA0115000,24,0115000CO-11184-24,38,0115000OF-11182-38,20,0115000AF-11183-20,9,0115000BF-11183-9,41,0115000SP-11184-41,0,-,0,-,2,0115000CYA-11181-2,0,-,5,0115000CS-11184-5,3,0115000CK-11183-3,12,0115000BP-11183-12,8,0115000BS-11184-8,19,0115000WB-11183-19,5,0115000HL-11183-5,7,0115000TL-11183-7,1,0115000ADS-11183-1,1,0115000MT-11184-1,2,0115000SEA-11183-2,1,0115000RS-11184-1,17
KA01,Nema Auto Spares,WKA0120540,OMR,OMR-WKA0120540,24,0120540CO-11185-24,38,0120540OF-11183-38,20,0120540AF-11184-20,9,0120540BF-11184-9,41,0120540SP-11185-41,6,0120540CB-11183-6,0,-,0,-,0,-,5,0120540CS-11185-5,3,0120540CK-11184-3,12,0120540BP-11184-12,8,0120540BS-11185-8,19,0120540WB-11184-19,5,0120540HL-11184-5,7,0120540TL-11184-7,1,0120540ADS-11184-1,1,0120540MT-11185-1,2,0120540SEA-11184-2,1,0120540RS-11185-1,17
KA01,Nema Auto Spares,WKA0114986,RAJ,RAJ-WKA0114986,24,0114986CO-11186-24,38,0114986OF-11184-38,20,0114986AF-11185-20,9,0114986BF-11185-9,41,0114986SP-11186-41,6,0114986CB-11184-6,6,0114986COA-11181-6,0,-,6,0114986CD-11181-6,5,0114986CS-11186-5,3,0114986CK-11185-3,12,0114986BP-11185-12,8,0114986BS-11186-8,19,0114986WB-11185-19,5,0114986HL-11185-5,7,0114986TL-11185-7,1,0114986ADS-11185-1,1,0114986MT-11186-1,2,0114986SEA-11185-2,1,0114986RS-11186-1,19
KA01,Nema Auto Spares,WKA0111744,RAJ,RAJ-WKA0111744,24,0111744CO-11187-24,38,0111744OF-11185-38,20,0111744AF-11186-20,9,0111744BF-11186-9,41,0111744SP-11187-41,6,0111744CB-11185-6,6,0111744COA-11182-6,2,0111744CYA-11182-2,6,0111744CD-11182-6,5,0111744CS-11187-5,3,0111744CK-11186-3,0,-,8,0111744BS-11187-8,19,0111744WB-11186-19,5,0111744HL-11186-5,7,0111744TL-11186-7,1,0111744ADS-11186-1,1,0111744MT-11187-1,2,0111744SEA-11186-2,1,0111744RS-11187-1,19
KA01,Nema Auto Spares,WKA0157602,RAJ,RAJ-WKA0157602,11,0157602CO-11188-11,20,0157602OF-11186-20,9,0157602AF-11187-9,2,0157602BF-11187-2,22,0157602SP-11188-22,4,0157602CB-11186-4,4,0157602COA-11183-4,2,0157602CYA-11183-2,4,0157602CD-11183-4,5,0157602CS-11188-5,2,0157602CK-11187-2,7,0157602BP-11186-7,5,0157602BS-11188-5,12,0157602WB-11187-12,0,-,3,0157602TL-11187-3,1,0157602ADS-11187-1,1,0157602MT-11188-1,1,0157602SEA-11187-1,1,0157602RS-11188-1,19
KA01,Nema Auto Spares,WKA0114955,RAJ,RAJ-WKA0114955,11,0114955CO-11189-11,20,0114955OF-11187-20,9,0114955AF-11188-9,2,0114955BF-11188-2,22,0114955SP-11189-22,4,0114955CB-11187-4,0,-,2,0114955CYA-11184-2,0,-,5,0114955CS-11189-5,2,0114955CK-11188-2,0,-,5,0114955BS-11189-5,12,0114955WB-11188-12,0,-,3,0114955TL-11188-3,1,0114955ADS-11188-1,1,0114955MT-11189-1,1,0114955SEA-11188-1,1,0114955RS-11189-1,16
KA01,Nema Auto Spares,WKA0115710,JHL,JHL-WKA0115710,7,0115710CO-111810-7,0,-,0,-,3,0115710BF-11189-3,0,-,3,0115710CB-11188-3,3,0115710COA-11184-3,0,-,3,0115710CD-11184-3,4,0115710CS-111810-4,1,0115710CK-11189-1,0,-,4,0115710BS-111810-4,11,0115710WB-11189-11,2,0115710HL-11187-2,3,0115710TL-11189-3,1,0115710ADS-11189-1,1,0115710MT-111810-1,1,0115710SEA-11189-1,1,0115710RS-111810-1,15
KA01,Nema Auto Spares,WKA0118811,HLY,HLY-WKA0118811,7,0118811CO-111811-7,0,-,8,0118811AF-11189-8,3,0118811BF-111810-3,25,0118811SP-111810-25,3,0118811CB-11189-3,3,0118811COA-11185-3,0,-,3,0118811CD-11185-3,4,0118811CS-111811-4,0,-,0,-,0,-,0,-,2,0118811HL-11188-2,3,0118811TL-111810-3,1,0118811ADS-111810-1,1,0118811MT-111811-1,1,0118811SEA-111810-1,1,0118811RS-111811-1,14
